SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,539301,EQUITY,0,ARVSMART,1,Arvind SmartSpaces,,,,5,NA,ES,B,Arvind SmartSpaces Limite
BSE,E,539302,EQUITY,0,POWERMECH,1,Power Mech Projects,,,,5,NA,ES,A,Power Mech Projects Limit
BSE,E,539309,EQUITY,0,RAMASTEEL,1,Rama Steel Tubes,,,,1,NA,ES,B,Rama Steel Tubes Limited
BSE,E,539312,EQUITY,0,UTISENSETF,1,UTI Sensex ETF,,,,1,NA,ETF,A,UTI BSE Sensex ETF
BSE,E,539313,EQUITY,0,UTINIFTETF,1,UTI Nifty 50 ETF,,,,1,NA,ETF,B,UTI Mutual Fund
BSE,E,539331,EQUITY,0,VETO,1,Veto Switchgear Cable,,,,5,NA,ES,B,VETO SWITCHGEARS AND CABL
BSE,E,539332,EQUITY,0,NAVKARCORP,1,Navkar Corporation,,,,5,NA,ES,B,Navkar Corporation Limite
BSE,E,539334,EQUITY,0,SHREEPUSHK,1,Shree Pushkar Chemicals,,,,5,NA,ES,B,Shree Pushkar Chemicals &
BSE,E,539336,EQUITY,0,GUJGASLTD,1,Gujarat Gas,,,,5,NA,ES,A,Gujarat Gas Limited
BSE,E,539346,EQUITY,0,SADBHIN,1,Sadbhav Infrastructure Projects,,,,1,NA,ES,B,Sadbhav Infrastructure Pr
BSE,E,539359,EQUITY,0,PRITIKAUTO,1,Pritika Auto Industries,,,,1,NA,ES,B,Pritika Auto Industries L
BSE,E,539398,EQUITY,0,VISHALBL,1,Vishal Bearings,,,,1,NA,ES,B,Vishal Bearings Limited
BSE,E,539399,EQUITY,0,BELLACASA,1,Bella Casa Fashion & Retail,,,,5,NA,ES,B,Bella Casa Fashion & Reta
BSE,E,539400,EQUITY,0,MALLCOM,1,Mallcom,,,,5,NA,ES,B,MALLCOM (INDIA) LTD.
BSE,E,539402,EQUITY,0,NAKSH,1,Naksh Precious Metals,,,,1,NA,ES,B,Naksh Precious Metals Lim
BSE,E,539404,EQUITY,0,SATIN,1,Satin Creditcare,,,,5,NA,ES,B,SATIN CREDITCARE NETWORK 
BSE,E,539436,EQUITY,0,COFFEEDAY,1,Coffee Day Enterprises,,,,1,NA,ES,A,Coffee Day Enterprises Li
BSE,E,539437,EQUITY,0,IDFCFIRSTB,1,IDFC First Bank,,,,1,NA,ES,A,IDFC FIRST BANK LIMITED
BSE,E,539448,EQUITY,0,INDIGO,1,Interglobe Aviation,,,,5,NA,ES,A,InterGlobe Aviation Limit
BSE,E,539450,EQUITY,0,SHK,1,SH Kelkar & Company,,,,5,NA,ES,B,S H Kelkar and Company Li
BSE,E,539469,EQUITY,0,PANORAMA,1,Panorama Studios International,,,,5,NA,ES,B,PANORAMA STUDIOS INTERNAT
BSE,E,539480,EQUITY,0,LICNETFN50,1,LIC Nifty 50 ETF,,,,1,NA,ETF,B,LIC MF EXHGE TRADED FUND-
BSE,E,539487,EQUITY,0,LICNETFSEN,1,LIC Sensex ETF,,,,1,NA,ETF,A,LIC MF EXCHNG TRADED FUND
BSE,E,539516,EQUITY,0,HDFCNIFTY,1,HDFC Nifty 50 ETF,,,,1,NA,ETF,B,HDFC Mutual Fund
BSE,E,539517,EQUITY,0,HDFCSENSEX,1,HDFC Sensex ETF,,,,1,NA,ETF,A,HDFC Mutual Fund
BSE,E,539523,EQUITY,0,ALKEM,1,Alkem Laboratories,,,,5,NA,ES,A,Alkem Laboratories Limite
BSE,E,539524,EQUITY,0,LALPATHLAB,1,Dr. Lal Path Labs,,,,5,NA,ES,A,Dr. Lal Pathlabs Limited
BSE,E,539542,EQUITY,0,LUXIND,1,Lux Industries,,,,5,NA,ES,B,LUX Industries Limited
BSE,E,539551,EQUITY,0,NH,1,Narayana Hrudayalaya,,,,5,NA,ES,A,Narayana Hrudayalaya Limi
BSE,E,539636,EQUITY,0,PRECAM,1,Precision Camshafts,,,,5,NA,ES,B,Precision Camshafts Limit
BSE,E,539658,EQUITY,0,TEAMLEASE,1,Teamlease Services,,,,5,NA,ES,A,TeamLease Services Limite
BSE,E,539659,EQUITY,0,KAMATS,1,Vikram Kamats Hospitality,,,,1,NA,ES,B,VIKRAM KAMATS HOSPITALITY
BSE,E,539660,EQUITY,0,BESTAGRO,1,Best Agrolife,,,,5,NA,ES,B,BEST AGROLIFE LIMITED
BSE,E,539678,EQUITY,0,QUICKHEAL,1,Quick Heal Technologies,,,,5,NA,ES,B,Quick Heal Technologies L
BSE,E,539686,EQUITY,0,KPEL,1,KP Energy,,,,5,NA,ES,A,K.P. Energy Limited
BSE,E,539725,EQUITY,0,GOKULAGRO,1,Gokul Agro Resources,,,,5,NA,ES,B,Gokul Agro Resources Ltd
BSE,E,539760,EQUITY,0,RELICAB,1,Relicab Cable Manufacturing,,,,1,NA,ES,B,Relicab Cable Manufacturi
BSE,E,539784,EQUITY,0,LICNFNHGP,1,LIC Nifty 100 ETF,,,,1,NA,ETF,B,LIC MF EXHNGE TRADED FUND
BSE,E,539785,EQUITY,0,PDMJEPAPER,1,Pudumjee Paper Products,,,,5,NA,ES,B,Pudumjee Paper Products L
BSE,E,539787,EQUITY,0,HCG,1,Healthcare Global Enterprises,,,,5,NA,ES,A,HealthCare Global Enterpr
BSE,E,539799,EQUITY,0,BHARATWIRE,1,Bharat Wire Ropes,,,,5,NA,ES,B,Bharat Wire Ropes Limited
BSE,E,539807,EQUITY,0,INFIBEAM,1,Infibeam Avenues,,,,1,NA,ES,A,INFIBEAM AVENUES LIMITED
BSE,E,539837,EQUITY,0,RPEL,1,Raghav Productivity Enhancers,,,,5,NA,ES,B,RAGHAV PRODUCTIVITY ENHAN
